company,company_formal,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,industry,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44
Aarti Industries,AARTI INDUSTRIES LTD.,4.1,3.2k,4.3,4.1,3.6,3.9,4.0,4.0,3.5,3998,,20101031225,Alchemie Group,1,5.05299e+19,"Chemical & chemical products, nec",101012090000000,Other chemical products,200209090000,20299,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)",1984,Chemical & Allied Products,3998,20240331,12,INDAS,69937.0,68654.9,1010.2,66773.7,4016.6,3720.3,272.9,4173.5,96443.2,15444.0,579.0,94.0,AARTI INDUSTRIES LTD.,96443.2,3200.0,Matched (3)
Aarvi Encon,AARVI ENCON LTD.,3.9,897,3.3,3.7,3.6,3.7,3.6,3.6,3.2,4030,AARVI ENCON,20102000000,Private (Indian),1,8.03628e+19,Placement & HR consultancy service,101041510000000,Business services & consultancy,780101010000,78100,Activities of employment placement agencies,1987,Services & Consultancy,4030,20240331,12,INDAS,3803.8,3776.5,,3700.3,2919.2,2847.9,42.7,103.5,1556.7,,,,AARVI ENCON LTD.,1556.7,897.0,Matched (3)
Abbott India,ABBOTT INDIA LTD.,4.1,3.3k,3.8,4.0,4.0,3.8,4.0,4.0,3.3,121704,ABBOTT INDIA,20202000000,Private (Foreign),1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1944,Healthcare & Pharmaceuticals,121704,20240331,12,INDAS,61235.3,58764.1,-77.3,49145.8,5765.8,5501.0,107.2,12012.2,52185.4,3878.0,401.0,,ABBOTT INDIA LTD.,52185.4,3300.0,Matched (3)
Accel,ACCEL LTD.,3.7,122,3.5,3.8,3.5,3.4,3.6,3.4,3.2,252985,,20102000000,Private (Indian),1,8.032e+19,Information technology,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1986,IT Sector,252985,20240331,12,INDAS,1680.5,1665.6,,1642.1,573.9,564.7,8.0,38.4,2168.6,1406.0,,,ACCEL LTD.,2168.6,122.0,Matched (3)
Adani Enterprises,ADANI ENTERPRISES LTD.,3.8,774,3.9,3.5,3.6,3.4,3.4,3.6,3.3,5747,ADANI ENTERPRISES,20101015100,Adani Group,1,8.00404121204e+19,"Wholesale trade in coal,lignite and peat",101040401000000,Wholesale trading,460601010000,46610,"Wholesale of solid, liquid and gaseous fuels and related products",1993,Retail & Wholesale,5747,20240331,12,INDAS,460205.0,320148.8,-10875.9,420886.5,7020.3,6610.9,599.3,28442.6,422357.9,2814.0,,,ADANI ENTERPRISES LTD.,422357.9,774.0,Matched (3)
Adani Ports & Special Economic Zone,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,3.8,983,3.4,3.6,3.6,3.5,3.5,3.7,3.2,86597,,20101015100,Adani Group,1,8.012121204e+19,Ports,101040504020000,Shipping transport infrastructure services,520202010000,52220,Service activities incidental to water transportation,1998,Transportation & Logistics,86597,20240331,12,INDAS,87878.2,68685.6,,70494.7,3329.3,3058.6,270.7,17383.5,842556.8,1192.0,,,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,842556.8,983.0,Matched (3)
Adani Power,ADANI POWER LTD.,3.9,2.1k,3.9,3.6,3.8,3.6,3.6,3.8,3.4,5757,ADANI POWER,20101015100,Adani Group,1,7.8060606e+19,Coal-based thermal electricity,101030105000000,Conventional electricity,350101020000,35102,Electric power generation by coal based thermal power plants,1996,Energy & Utilities,5757,20240331,12,INDAS,499131.9,385356.0,,311639.5,5541.9,5079.5,462.4,187492.4,800118.7,,,,ADANI POWER LTD.,800118.7,2100.0,Matched (3)
Adani Wilmar,ADANI WILMAR LTD.,4.1,1.9k,4.2,3.9,3.8,3.8,3.9,3.9,3.5,5759,ADANI WILMAR,20101015100,Adani Group,1,3.00804e+19,Edible oils,101011101200000,Vegetable oils & products,100401020000,10402,Manufacture of vegetable oils and fats excluding corn oil,1999,Food & Beverages,5759,20240331,12,INDAS,495325.7,492426.2,-190.7,492353.4,3741.7,3518.0,311.7,2781.6,188569.9,6336.0,77.0,,ADANI WILMAR LTD.,188569.9,1900.0,Matched (3)
Aditya Birla Money,ADITYA BIRLA MONEY LTD.,4.0,192,4.1,4.0,3.6,3.8,3.9,3.6,3.3,18138,,20101010207,Birla Aditya Group,2,8.508e+19,Fee based financial services,102059000000000,Other fee based financial services,640109010000,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1995,Financial Services,18138,20240331,12,FS_INDAS,3950.1,,,3420.4,888.8,864.5,20.7,529.7,21236.9,718.0,,,ADITYA BIRLA MONEY LTD.,21236.9,192.0,Matched (3)
Aditya Vision,ADITYA VISION LTD.,4.1,95,3.8,3.9,3.7,3.8,3.8,3.9,3.4,6456,ADITYA VISION,20101031276,Aditya Vision Group,1,8.004081720081616e+19,Retail trade in domestic appliances,101040405000000,Retail trading,470509090000,47599,"Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)",1999,Retail & Wholesale,6456,20240331,12,INDAS,17498.2,17432.9,1393.4,18120.9,567.6,468.3,14.3,770.7,8753.7,2029.0,90.0,14.0,ADITYA VISION LTD.,8753.7,95.0,Matched (3)
